ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
0.128591	0.125278	0.0826159	237021
0.107958	1	0.348273	999179
0.533944	1	0.868975	2493050
0.559035	1	0.884138	2536550
0.615429	0.41206	0.60153	1725760
1	0.427507	0.790796	2268760
0.555467	0.665689	0.737643	2116260
0.492235	1	0.84113	2413170
1	0.29011	0.64912	1862290
0.531054	0.29011	0.442223	1268720
1	0.306429	0.668864	1918940
1	0.201556	0.524386	1504440
0.372308	0.201556	0.269376	772827
0.508411	0.800405	0.772811	2217160
0.617513	1	0.915188	2625630
1	0.639257	0.925292	2654620
1	0.476671	0.82985	2380800
0.438856	1	0.800291	2296000
0.561259	0.652839	0.734288	2106640
0.168429	1	0.468442	1343940
1	1	1	2868960
0.202039	1	0.525159	1506660
0.458207	0.226981	0.3394	973724
1	0.221794	0.555817	1594610
0.254305	0.325346	0.288925	828914
1	0.265219	0.617218	1770770
0.0422821	1	0.176037	505042
1	0.184161	0.495751	1422290
0.618324	0.0651046	0.169577	486510
0.372882	0.0736021	0.126125	361847
1	0.605807	0.909434	2609120
0.0516487	0.785696	0.170618	489496
0.0517764	0.394389	0.0998793	286549
1	0.158215	0.449932	1290830
0.599493	0.158215	0.318262	913080
0.0167482	0.285737	0.0303509	87075.4
0.45316	0.273172	0.38241	1097120
0.716425	0.442484	0.681194	1954320
0.220221	0.121334	0.12351	354344
0.188772	0.258001	0.195886	561987
0.0717046	0.774852	0.216146	620113
0.644341	1	0.927546	2661090
1	0.730657	0.959945	2754040
1	0.739107	0.962548	2761510
1	1	1	2868960
0.143884	0.341878	0.197356	566206
0.680546	0.055089	0.160597	460746
0.580623	0.492271	0.643784	1846990
0.278373	0.785699	0.551162	1581260
1	0.322463	0.687416	1972160
1	0.484959	0.835919	2398210
0.238703	1	0.580653	1665870
1	0.284584	0.642228	1842520
1	0.705214	0.951513	2729850
1	0.248734	0.594815	1706500
0.174712	0.11173	0.0963592	276450
0.451649	0.384484	0.477664	1370400
0.349965	0.675719	0.577456	1656690
1	0.219685	0.552631	1585470
1	0.0623323	0.235322	675127
1	1	1	2868960
0.483268	0.695966	0.702825	2016370
0.133073	0.209493	0.127679	366304
1	0.193256	0.510919	1465800
1	0.309542	0.67253	1929460
1	0.510355	0.853645	2449070
